COD_NAT_DESPESA;Natureza Despesa;COD_NAT_DETALHADA;Natureza Despesa Detalhada;Métrica;Mês;Empenhado;Liquidado;Porcentagem Empenhado;Porcentagem Liquidado
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;MAR/2024;03/2024;121;0;0,00%;0,00%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904023;EMISSAO DE CERTIFICADOS DIGITAIS;ABR/2024;04/2024;73,74;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903042;FERRAMENTAS;MAR/2024;03/2024;112,7;0;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;FEV/2024;02/2024;55.000,00;0;0,97%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;MAR/2024;03/2024;80.000,00;132.986,44;1,42%;2,35%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;ABR/2024;04/2024;300.000,00;50.548,50;5,31%;0,89%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903941;FORNECIMENTO DE ALIMENTACAO;MAI/2024;05/2024;0;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;MAR/2024;03/2024;974,77;0;0,02%;0,00%
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;ABR/2024;04/2024;0;402,22;0,00%;0,01%
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;MAI/2024;05/2024;0;572,55;0,00%;0,01%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;JAN/2024;01/2024;37,86;37,86;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;FEV/2024;02/2024;41,65;41,65;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;MAR/2024;03/2024;30,81;30,81;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;ABR/2024;04/2024;7,97;0;0,00%;0,00%
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;33904708;IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN;MAI/2024;05/2024;-7,46;0,51;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;JAN/2024;01/2024;16.995,04;1.565,53;0,30%;0,03%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;FEV/2024;02/2024;1.602,41;15.386,32;0,03%;0,27%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;MAR/2024;03/2024;1.600,01;3.058,24;0,03%;0,05%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;ABR/2024;04/2024;4.587,36;1.529,12;0,08%;0,03%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;MAI/2024;05/2024;9.174,72;1.529,12;0,16%;0,03%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903978;LIMPEZA E CONSERVACAO;JUN/2024;06/2024;0;0;0,00%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903920;MANUT.E CONS.DE B.MOVEIS DE OUTRAS NATUREZAS;ABR/2024;04/2024;21.165,86;0;0,37%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903916;MANUTENCAO E CONSERV. DE BENS IMOVEIS;ABR/2024;04/2024;1.990,59;0;0,04%;0,00%
339039;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;33903916;MANUTENCAO E CONSERV. DE BENS IMOVEIS;MAI/2024;05/2024;29.440,50;0;0,52%;0,00%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;FEV/2024;02/2024;23.969,24;0;0,42%;0,00%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;MAR/2024;03/2024;24.000,00;31.400,25;0,42%;0,56%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;ABR/2024;04/2024;54.000,00;25.385,41;0,96%;0,45%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;MAI/2024;05/2024;152.312,46;27.432,36;2,69%;0,49%
339037;LOCACAO DE MAO-DE-OBRA;33903704;MANUTENCAO E CONSERVACAO DE BENS IMOVEIS;JUN/2024;06/2024;0;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;MAR/2024;03/2024;26.599,19;0;0,47%;0,00%
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;ABR/2024;04/2024;2.158,17;172,5;0,04%;0,00%
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;MAI/2024;05/2024;1.573,92;21.390,94;0,03%;0,38%
339030;MATERIAL DE CONSUMO;33903019;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;MAR/2024;03/2024;1,88;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903012;MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO;MAR/2024;03/2024;2.583,00;0;0,05%;0,00%
339030;MATERIAL DE CONSUMO;33903012;MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO;ABR/2024;04/2024;0;2.460,00;0,00%;0,04%
339030;MATERIAL DE CONSUMO;33903012;MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO;MAI/2024;05/2024;4.920,00;4.920,00;0,09%;0,09%
339030;MATERIAL DE CONSUMO;33903022;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;MAR/2024;03/2024;103,6;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903022;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;MAI/2024;05/2024;0;103,6;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903028;MATERIAL DE PROTECAO E SEGURANCA;MAR/2024;03/2024;1.172,60;0;0,02%;0,00%
339030;MATERIAL DE CONSUMO;33903028;MATERIAL DE PROTECAO E SEGURANCA;ABR/2024;04/2024;0;1.172,60;0,00%;0,02%
339030;MATERIAL DE CONSUMO;33903028;MATERIAL DE PROTECAO E SEGURANCA;MAI/2024;05/2024;0;0;0,00%;0,00%
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;MAR/2024;03/2024;6.985,00;0;0,12%;0,00%
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;ABR/2024;04/2024;0;6.985,00;0,00%;0,12%
339030;MATERIAL DE CONSUMO;33903026;MATERIAL ELETRICO E ELETRONICO;MAI/2024;05/2024;0;0;0,00%;0,00%
